t,profit,strategy_name,strategy_params,annual,Cumulative5yearprofit,Cumulative5yearhibzeroprofit,Hlbzeroannual
1095,-2807.485091,RogueTrees,135;0;9;0.0545;0.4,-90515.8268,-405797.7677,,
1095,7287.934909,RogueTrees,135;0;6;0.0545;0.4,-81869.5268,-382390.2545,,
1095,17383.35491,RogueTrees,135;0;3;0.0545;0.4,-73223.2268,-395443.3984,,
1095,3475.716956,RogueTrees,105;0;9;0.0545;0.4,-84423.35364,-408481.6623,,
1095,13578.54696,RogueTrees,105;0;6;0.0545;0.4,-75765.83364,-401658.6193,,
1095,23681.37696,RogueTrees,105;0;3;0.0545;0.4,-67108.31364,-421707.652,,
1095,-7527.944635,RogueTrees,70;0;9;0.0545;0.4,-94922.67066,-441755.1847,,
1095,2583.885365,RogueTrees,70;0;6;0.0545;0.4,-86261.49066,-425329.3404,,
1095,12695.71537,RogueTrees,70;0;3;0.0545;0.4,-77600.31066,-513012.255,,
1095,-8505.015964,RogueTrees,45;0;9;0.0545;0.4,-95814.86636,-604087.6296,,
1095,1613.774036,RogueTrees,45;0;6;0.0545;0.4,-87155.84636,-671679.7285,,
1095,11732.56404,RogueTrees,45;0;3;0.0545;0.4,-78496.82636,-749366.9929,,
1095,132092.6683,SprayTrees,0.7;0.246,-481.8810303,120421.8633,,
1095,49539.53665,NoAction,0;0;0;0;0;0;0,-42637.95613,-501206.6317,,
1095,4815.170493,SprayTreesOTC,0.7;0.246;0.21;0.245,4815.170493,-187296.1286,,
1095,6607.290399,SprayTreesOTC,0.8;0.246;0.21;0.245,6607.290399,-177533.3953,,
1460,312718.8284,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.9;0.246,72585.08571,174251.5673,,
1460,313973.0684,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.9;0.246,72620.03571,83630.10671,,
1460,315227.3084,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.9;0.246,72654.98571,-82352.33406,,
1460,324578.6203,SprayTrees,0.9;0.246,76758.07465,100396.1803,,
1460,-188773.6039,RogueTrees,45;0;9;0.0545;0.2,-173944.4052,-830339.7074,,
1460,-171427.0939,RogueTrees,45;0;6;0.0545;0.2,-168675.6852,-810491.273,,
1460,-154080.5839,RogueTrees,45;0;3;0.0545;0.2,-163406.9652,-806307.4075,,
1460,-167905.1812,RogueTrees,105;0;9;0.0545;0.1,-164843.1108,-802111.4819,,
1460,-150450.0112,RogueTrees,105;0;6;0.0545;0.1,-159469.5408,-791198.6307,,
1460,-132994.8412,RogueTrees,105;0;3;0.0545;0.1,-154095.9708,-806804.5654,,
1460,-167900.5486,RogueTrees,105;0;9;0.0545;0.2,-164491.8197,-822397.6001,,
1460,-150537.8986,RogueTrees,105;0;6;0.0545;0.2,-159211.0397,-822208.3159,,
1460,-133175.2486,RogueTrees,105;0;3;0.0545;0.2,-153930.2597,-836772.083,,
1460,-190058.7676,RogueTrees,45;0;9;0.0545;0.1,-175075.4755,-851251.91,,
1460,-172582.4476,RogueTrees,45;0;6;0.0545;0.1,-169689.0055,-839221.8012,,
1460,-155106.1276,RogueTrees,45;0;3;0.0545;0.1,-164302.5355,-842797.5156,,
1460,-188046.1616,RogueTrees,70;0;9;0.0545;0.1,-173774.8067,-846477.93,,
1460,-170595.2216,RogueTrees,70;0;6;0.0545;0.1,-168410.0867,-835404.3032,,
1460,-153144.2816,RogueTrees,70;0;3;0.0545;0.1,-163045.3667,-834511.9179,,
1460,-187042.0353,RogueTrees,70;0;9;0.0545;0.2,-173264.7199,-833595.2026,,
1460,-169696.7553,RogueTrees,70;0;6;0.0545;0.2,-167982.9499,-817070.084,,
1460,-152351.4753,RogueTrees,70;0;3;0.0545;0.2,-162701.1799,-815748.4968,,
1460,-176946.1362,RogueTrees,135;0;9;0.0545;0.1,-167517.7014,-814440.8896,,
1460,-159486.8262,RogueTrees,135;0;6;0.0545;0.1,-162128.6514,-803048.9709,,
1460,-142027.5162,RogueTrees,135;0;3;0.0545;0.1,-156739.6014,-807364.5067,,
1460,-176021.7986,RogueTrees,135;0;9;0.0545;0.2,-166661.3627,-812870.6225,,
1460,-158689.7786,RogueTrees,135;0;6;0.0545;0.2,-161393.5727,-804256.5069,,
1460,-141357.7586,RogueTrees,135;0;3;0.0545;0.2,-156125.7827,-804965.617,,
1460,148100.9413,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.8;0.246,-23060.23491,-243923.3348,,
1460,153896.6413,RogueTrees-SprayTrees,135;0;6;0.0545;0.4;0.8;0.246,-20548.30491,-305332.725,,
1460,159692.3413,RogueTrees-SprayTrees,135;0;3;0.0545;0.4;0.8;0.246,-18036.37491,-373929.0305,,
1460,-180198.7995,RogueTrees,70;0;9;0.0545;0.3,-166444.1872,-806764.507,,
1460,-164014.6395,RogueTrees,70;0;6;0.0545;0.3,-162245.7172,-794066.9826,,
1460,-147830.4795,RogueTrees,70;0;3;0.0545;0.3,-158047.2472,-791234.0225,,
1460,-171415.168,RogueTrees,135;0;9;0.0545;0.3,-162102.6827,-788429.7124,,
1460,-155259.208,RogueTrees,135;0;6;0.0545;0.3,-157924.6727,-777400.1468,,
1460,-139103.248,RogueTrees,135;0;3;0.0545;0.3,-153746.6627,-786718.5158,,
1460,-162128.1019,RogueTrees,105;0;9;0.0545;0.3,-159412.7571,-796017.5348,,
1460,-145978.0219,RogueTrees,105;0;6;0.0545;0.3,-155242.9371,-795453.0994,,
1460,-129827.9419,RogueTrees,105;0;3;0.0545;0.3,-151073.1171,-786885.7505,,
1460,-181603.0397,RogueTrees,45;0;9;0.0545;0.3,-167243.0417,-778788.7717,,
1460,-165426.4097,RogueTrees,45;0;6;0.0545;0.3,-163045.6817,-750822.4181,,
1460,-149249.7797,RogueTrees,45;0;3;0.0545;0.3,-158848.3217,-733096.6409,,
1460,6984.456717,RogueTrees-SprayTrees,135;0;9;0.0545;0.4;0.7;0.246,-93362.40505,-440572.3361,,
